state,state_,city,relation_id_state,relation_id_city,url
Alberta,AB,Calgary,,,
Alberta,AB,Edmonton,,,
Alberta,AB,Red Deer,,,
Alberta,AB,Lethbridge,,,
Alberta,AB,Wood Buffalo,,,
Alberta,AB,St. Albert,,,
Alberta,AB,Medicine Hat,,,
Alberta,AB,Grande Prairie,,,
Alberta,AB,Airdrie,,,
Alberta,AB,Spruce Grove,,,
Alberta,AB,Leduc,,,
Alberta,AB,Okotoks,,,
Alberta,AB,Cochrane,,,
Alberta,AB,Fort Saskatchewan,,,
Alberta,AB,Chestermere,,,
Alberta,AB,Lloydminster,,,
Alberta,AB,Camrose,,,
Alberta,AB,Beaumont,,,
Alberta,AB,Stony Plain,,,
Alberta,AB,Cold Lake,,,
Alberta,AB,Sylvan Lake,,,
Alberta,AB,Brooks,,,
Alberta,AB,Canmore,,,
Alberta,AB,Strathmore,,,
Alberta,AB,High River,,,
Alberta,AB,Lacombe,,,
Alberta,AB,Wetaskiwin,,,
Alberta,AB,Hinton,,,
Alberta,AB,Morinville,,,
Alberta,AB,Blackfalds,,,
Alberta,AB,Olds,,,
Alberta,AB,Taber,,,
Alberta,AB,Edson,,,
Alberta,AB,Coaldale,,,
Alberta,AB,Drumheller,,,
Alberta,AB,Banff,,,
Alberta,AB,Innisfail,,,
Alberta,AB,Drayton Valley,,,
Alberta,AB,Ponoka,,,
Alberta,AB,Peace River,,,
Alberta,AB,Slave Lake,,,
Alberta,AB,Rocky Mountain House,,,
Alberta,AB,Devon,,,
Alberta,AB,Wainwright,,,
Alberta,AB,Bonnyville,,,
Alberta,AB,Stettler,,,
Alberta,AB,St. Paul,,,
Alberta,AB,Vegreville,,,
Alberta,AB,Redcliff,,,
Alberta,AB,Crowsnest Pass,,,
Alberta,AB,Didsbury,,,
Alberta,AB,Westlock,,,
Alberta,AB,Jasper,,,
Alberta,AB,Barrhead,,,
Alberta,AB,Vermilion,,,
Alberta,AB,Carstairs,,,
Alberta,AB,Claresholm,,,
Alberta,AB,Raymond,,,
Alberta,AB,Pincher Creek,,,
Alberta,AB,Cardston,,,
Alberta,AB,Grande Cache,,,
Alberta,AB,Penhold,,,
Alberta,AB,Three Hills,,,
Alberta,AB,High Level,,,
Alberta,AB,Gibbons,,,
Alberta,AB,Crossfield,,,
Alberta,AB,Fort Macleod,,,
Alberta,AB,Athabasca,,,
Alberta,AB,Sundre,,,
Alberta,AB,Grimshaw,,,
Alberta,AB,Black Diamond,,,
Alberta,AB,Coalhurst,,,
Alberta,AB,Sexsmith,,,
Alberta,AB,Rimbey,,,
Alberta,AB,High Prairie,,,
Alberta,AB,Turner Valley,,,
Alberta,AB,Hanna,,,
Alberta,AB,Beaverlodge,,,
Alberta,AB,Magrath,,,
Alberta,AB,Calmar,,,
Alberta,AB,Nanton,,,
Alberta,AB,Tofield,,,
Alberta,AB,Redwater,,,
Alberta,AB,Provost,,,
Alberta,AB,Bow Island,,,
Alberta,AB,Fox Creek,,,
Alberta,AB,Millet,,,
Alberta,AB,Vulcan,,,
Alberta,AB,Valleyview,,,
Alberta,AB,Picture Butte,,,
Alberta,AB,Lamont,,,
Alberta,AB,Bon Accord,,,
Alberta,AB,Wembley,,,
Alberta,AB,Springbrook,,,
Alberta,AB,Elk Point,,,
Alberta,AB,Wabasca,,,
Alberta,AB,Two Hills,,,
Alberta,AB,Legal,,,
Alberta,AB,Mayerthorpe,,,
Alberta,AB,Bruderheim,,,
Alberta,AB,Swan Hills,,,
Alberta,AB,Nobleford,,,
Alberta,AB,Bowden,,,
Alberta,AB,Vauxhall,,,
Alberta,AB,Irricana,,,
Alberta,AB,Bassano,,,
Alberta,AB,Manning,,,
Alberta,AB,Eckville,,,
Alberta,AB,Duchess,,,
Alberta,AB,Viking,,,
Alberta,AB,Whitecourt,,,
Alberta,AB,Bentley,,,
Alberta,AB,Trochu,,,
Alberta,AB,Falher,,,
Alberta,AB,Onoway,,,
Alberta,AB,Alberta Beach,,,
Alberta,AB,Oyen,,,
British Columbia,BC,Vancouver,,,
British Columbia,BC,Surrey,,,
British Columbia,BC,Caledon,,,
British Columbia,BC,Burnaby,,,
British Columbia,BC,Richmond,,,
British Columbia,BC,Kelowna,,,
British Columbia,BC,Abbotsford,,,
British Columbia,BC,Coquitlam,,,
British Columbia,BC,Langley,,,
British Columbia,BC,Saanich,,,
British Columbia,BC,Delta,,,
British Columbia,BC,Kamloops,,,
British Columbia,BC,Nanaimo,,,
British Columbia,BC,North Vancouver,,,
British Columbia,BC,Chilliwack,,,
British Columbia,BC,White Rock,,,
British Columbia,BC,Maple Ridge,,,
British Columbia,BC,Prince George,,,
British Columbia,BC,New Westminster,,,
British Columbia,BC,Port Coquitlam,,,
British Columbia,BC,Vernon,,,
British Columbia,BC,Duncan,,,
British Columbia,BC,West Vancouver,,,
British Columbia,BC,Mission,,,
British Columbia,BC,Langford Station,,,
British Columbia,BC,Campbell River,,,
British Columbia,BC,Penticton,,,
British Columbia,BC,Port Moody,,,
British Columbia,BC,Kelowna,,,
British Columbia,BC,North Cowichan,,,
British Columbia,BC,Courtenay,,,
British Columbia,BC,Fort St. John,,,
British Columbia,BC,Squamish,,,
British Columbia,BC,Cranbrook,,,
British Columbia,BC,Pitt Meadows,,,
British Columbia,BC,Oak Bay,,,
British Columbia,BC,Salmon Arm,,,
British Columbia,BC,Port Alberni,,,
British Columbia,BC,Esquimalt,,,
British Columbia,BC,Colwood,,,
British Columbia,BC,Central Saanich,,,
British Columbia,BC,Terrace,,,
British Columbia,BC,Comox,,,
British Columbia,BC,Powell River,,,
British Columbia,BC,Sooke,,,
British Columbia,BC,Dawson Creek,,,
British Columbia,BC,Lake Country,,,
British Columbia,BC,Parksville,,,
British Columbia,BC,Prince Rupert,,,
British Columbia,BC,Whistler,,,
British Columbia,BC,Sidney,,,
British Columbia,BC,Summerland,,,
British Columbia,BC,North Saanich,,,
British Columbia,BC,Williams Lake,,,
British Columbia,BC,Nelson,,,
British Columbia,BC,View Royal,,,
British Columbia,BC,Coldstream,,,
British Columbia,BC,Sechelt,,,
British Columbia,BC,Quesnel,,,
British Columbia,BC,Qualicum Beach,,,
British Columbia,BC,Ladysmith,,,
British Columbia,BC,Kitimat,,,
British Columbia,BC,Castlegar,,,
British Columbia,BC,Trail,,,
British Columbia,BC,Kimberley,,,
British Columbia,BC,Merritt,,,
British Columbia,BC,Hope,,,
British Columbia,BC,Kent,,,
British Columbia,BC,Peachland,,,
British Columbia,BC,Northern Rockies Regional Municipality,,,
British Columbia,BC,Creston,,,
British Columbia,BC,Smithers,,,
British Columbia,BC,Fernie,,,
British Columbia,BC,Spallumcheen,,,
British Columbia,BC,Osoyoos,,,
British Columbia,BC,Oliver,,,
British Columbia,BC,Armstrong,,,
British Columbia,BC,Metchosin,,,
British Columbia,BC,Gibsons,,,
British Columbia,BC,Vanderhoof,,,
British Columbia,BC,Grand Forks,,,
British Columbia,BC,Port Hardy,,,
British Columbia,BC,Sparwood,,,
British Columbia,BC,Cumberland,,,
British Columbia,BC,Rossland,,,
British Columbia,BC,Mackenzie,,,
British Columbia,BC,Golden,,,
British Columbia,BC,Bowen Island,,,
British Columbia,BC,Fruitvale,,,
British Columbia,BC,Westbank,,,
British Columbia,BC,Lumby,,,
British Columbia,BC,Invermere,,,
British Columbia,BC,Lake Cowichan,,,
British Columbia,BC,Ellison,,,
British Columbia,BC,Houston,,,
British Columbia,BC,Enderby,,,
British Columbia,BC,Cedar,,,
British Columbia,BC,Princeton,,,
British Columbia,BC,Errington,,,
British Columbia,BC,Chetwynd,,,
British Columbia,BC,Pemberton,,,
British Columbia,BC,Elkford,,,
British Columbia,BC,Sicamous,,,
British Columbia,BC,Clearwater,,,
British Columbia,BC,Lillooet,,,
British Columbia,BC,Chase,,,
British Columbia,BC,Highlands,,,
British Columbia,BC,Anmore,,,
British Columbia,BC,Cowichan Bay,,,
British Columbia,BC,Logan Lake,,,
British Columbia,BC,Saltair,,,
British Columbia,BC,Port McNeill,,,
British Columbia,BC,Tumbler Ridge,,,
British Columbia,BC,100 Mile House,,,
British Columbia,BC,Tofino,,,
British Columbia,BC,Nisga'a,,,
