state,state_,city,relation_id_state,relation_id_city,url
Alabama,AL,Birmingham,,,
Alabama,AL,Huntsville,,,
Alabama,AL,Mobile,,,
Alabama,AL,Montgomery,,,
Alabama,AL,Tuscaloosa,,,
Alabama,AL,Hoover,,,
Alabama,AL,Auburn,,,
Alabama,AL,Florence,,,
Alabama,AL,Anniston,,,
Alabama,AL,Dothan,,,
Alabama,AL,Decatur,,,
Alabama,AL,Madison,,,
Alabama,AL,Vestavia Hills,,,
Alabama,AL,Phenix City,,,
Alabama,AL,Prattville,,,
Alabama,AL,Gadsden,,,
Alabama,AL,Alabaster,,,
Alabama,AL,Opelika,,,
Alabama,AL,Northport,,,
Alabama,AL,Enterprise,,,
Alabama,AL,Daphne,,,
Alabama,AL,Homewood,,,
Alabama,AL,Bessemer,,,
Alabama,AL,Athens,,,
Alabama,AL,Trussville,,,
Alabama,AL,Pelham,,,
Alabama,AL,Albertville,,,
Alabama,AL,Oxford,,,
Alabama,AL,Mountain Brook,,,
Alabama,AL,Fairhope,,,
Alabama,AL,Helena,,,
Alabama,AL,Foley,,,
Alabama,AL,Prichard,,,
Alabama,AL,Selma,,,
Alabama,AL,Tillmans Corner,,,
Alabama,AL,Cullman,,,
Alabama,AL,Troy,,,
Alabama,AL,Hueytown,,,
Alabama,AL,Millbrook,,,
Alabama,AL,Center Point,,,
Alabama,AL,Calera,,,
Alabama,AL,Muscle Shoals,,,
Alabama,AL,Saraland,,,
Alabama,AL,Gardendale,,,
Alabama,AL,Talladega,,,
Alabama,AL,Scottsboro,,,
Alabama,AL,Hartselle,,,
Alabama,AL,Alexander City,,,
Alabama,AL,Fort Payne,,,
Alabama,AL,Gulf Shores,,,
Alabama,AL,Chelsea,,,
Alabama,AL,Ozark,,,
Alabama,AL,Jasper,,,
Alabama,AL,Irondale,,,
Alabama,AL,McCalla,,,
Alabama,AL,Moody,,,
Alabama,AL,Jacksonville,,,
Alabama,AL,Pell City,,,
Alabama,AL,Eufaula,,,
Alabama,AL,Sylacauga,,,
Alabama,AL,Leeds,,,
Alabama,AL,Russellville,,,
Alabama,AL,Saks,,,
Alabama,AL,Valley,,,
Alabama,AL,Clay,,,
Alabama,AL,Fairfield,,,
Alabama,AL,Rainbow City,,,
Alabama,AL,Boaz,,,
Alabama,AL,Spanish Fort,,,
Alabama,AL,Fultondale,,,
Alabama,AL,Pleasant Grove,,,
Alabama,AL,Meadowbrook,,,
Alabama,AL,Sheffield,,,
Alabama,AL,Southside,,,
Alabama,AL,Forestdale,,,
Alabama,AL,Pike Road,,,
Alabama,AL,Tuskegee,,,
Alabama,AL,Tuscumbia,,,
Alabama,AL,Andalusia,,,
Alabama,AL,Atmore,,,
Alabama,AL,Clanton,,,
Alabama,AL,Guntersville,,,
Alabama,AL,Arab,,,
Alabama,AL,Meridianville,,,
Alabama,AL,Orange Beach,,,
Alabama,AL,Bay Minette,,,
Alabama,AL,Brook Highland,,,
Alabama,AL,Greenville,,,
Alabama,AL,Pinson,,,
Alabama,AL,Demopolis,,,
Alabama,AL,Wetumpka,,,
Alabama,AL,Hamilton,,,
Alabama,AL,Montevallo,,,
Alabama,AL,Lincoln,,,
Alabama,AL,Lanett,,,
Alabama,AL,Oneonta,,,
Alabama,AL,Satsuma,,,
Alabama,AL,Opp,,,
Alabama,AL,Harvest,,,
Alabama,AL,Robertsdale,,,
Alabama,AL,Chickasaw,,,
Alabama,AL,Highland Lakes,,,
Alabama,AL,Tarrant,,,
Alabama,AL,Grayson Valley,,,
Alabama,AL,Monroeville,,,
Alabama,AL,Theodore,,,
Alabama,AL,Fort Rucker,,,
Alabama,AL,Attalla,,,
Alabama,AL,Moores Mill,,,
Alabama,AL,Rainsville,,,
Alabama,AL,Smiths Station,,,
Alabama,AL,Roanoke,,,
Alabama,AL,Glencoe,,,
Alabama,AL,Redland,,,
Alabama,AL,Brewton,,,
Alabama,AL,Midfield,,,
Alabama,AL,Tallassee,,,
Alabama,AL,Margaret,,,
Alabama,AL,Holtville,,,
Alabama,AL,Semmes,,,
Alabama,AL,Headland,,,
Alabama,AL,Daleville,,,
Alabama,AL,Piedmont,,,
Alabama,AL,Winfield,,,
Alabama,AL,Odenville,,,
Alabama,AL,Holt,,,
Alabama,AL,Jackson,,,
Alabama,AL,Childersburg,,,
Alabama,AL,Springville,,,
Alabama,AL,Argo,,,
Alabama,AL,Hokes Bluff,,,
Alabama,AL,Adamsville,,,
Alabama,AL,Haleyville,,,
Alabama,AL,Fayette,,,
Alabama,AL,Geneva,,,
Alabama,AL,Columbiana,,,
Alabama,AL,Mount Olive,,,
Alabama,AL,Valley Grande,,,
Alabama,AL,Alexandria,,,
Alabama,AL,Pine Level,,,
Alabama,AL,Citronelle,,,
Alabama,AL,Hazel Green,,,
Alabama,AL,Cottondale,,,
Alabama,AL,Kimberly,,,
Alabama,AL,Ladonia,,,
Alabama,AL,Thomasville,,,
Alabama,AL,Loxley,,,
Alabama,AL,Evergreen,,,
Alabama,AL,Centre,,,
Alabama,AL,Priceville,,,
Alabama,AL,Emerald Mountain,,,
Alabama,AL,Elba,,,
Alabama,AL,Grand Bay,,,
Alabama,AL,Heflin,,,
Alabama,AL,Union Springs,,,
Alabama,AL,Weaver,,,
Alabama,AL,Lake View,,,
Alabama,AL,Moulton,,,
Alabama,AL,Marion,,,
Alabama,AL,Livingston,,,
Alabama,AL,Brent,,,
Alabama,AL,Warrior,,,
Alabama,AL,Red Bay,,,
Alabama,AL,Hanceville,,,
Alabama,AL,East Brewton,,,
Alabama,AL,West End-Cobb Town,,,
Alabama,AL,Dadeville,,,
Alabama,AL,Huguley,,,
Alabama,AL,Brighton,,,
Alabama,AL,Eutaw,,,
Alabama,AL,New Hope,,,
Alabama,AL,Choccolocco,,,
Alabama,AL,Eagle Point,,,
Alabama,AL,Centreville,,,
Alabama,AL,Triana,,,
Alabama,AL,Moundville,,,
Alabama,AL,Creola,,,
Alabama,AL,Dora,,,
Alabama,AL,Graysville,,,
Alabama,AL,Luverne,,,
Alabama,AL,Stevenson,,,
Alabama,AL,Sumiton,,,
Alabama,AL,La Fayette,,,
Alabama,AL,Underwood-Petersville,,,
Alabama,AL,Jemison,,,
Alabama,AL,Hartford,,,
Alabama,AL,Lineville,,,
Alabama,AL,Taylor,,,
Alabama,AL,Indian Springs Village,,,
Alabama,AL,Stapleton,,,
Alabama,AL,Bayou La Batre,,,
Alabama,AL,Remlap,,,
Alabama,AL,Clayton,,,
Alabama,AL,Bon Secour,,,
Alabama,AL,Trinity,,,
Alabama,AL,Guin,,,
Alabama,AL,Owens Cross Roads,,,
Alabama,AL,Greensboro,,,
Alabama,AL,Thorsby,,,
Alabama,AL,Ashford,,,
Alabama,AL,Carlisle-Rockledge,,,
Alabama,AL,Good Hope,,,
